Month,EK_New_Transactions,EK_Affiliate_Income,EK_Paid_Post_Income,EK_Total_Monthly_Income,EK_Cumulative_Income,CK_New_Referrals,CK_Active_Retained_Base,CK_Referral_Income,CK_Paid_Post_Rate,CK_Paid_Post_Income,CK_Total_Monthly_Income,CK_Cumulative_Income,Monthly_Difference,Cumulative_Difference
1,2160,129600,32000,161600,161600,3240,3240,19440,4000,32000,51440,51440,-110160,-110160
2,2160,129600,32000,161600,323200,3240,4536,27216,4000,32000,59216,110656,-102384,-212544
3,2160,129600,32000,161600,484800,3240,5054,30326,4000,32000,62326,172982,-99274,-311818
4,2160,129600,32000,161600,646400,3240,5262,31571,4000,32000,63571,236553,-98029,-409847
5,2160,129600,32000,161600,808000,3240,5345,32068,4000,32000,64068,300621,-97532,-507379
6,2160,129600,32000,161600,969600,3240,5378,32267,4000,32000,64267,364888,-97333,-604712
7,2160,129600,32000,161600,1131200,3240,5391,32347,5500,44000,76347,441235,-85253,-689965
8,2160,129600,32000,161600,1292800,3240,5396,32379,5500,44000,76379,517614,-85221,-775186
9,2160,129600,32000,161600,1454400,3240,5399,32392,5500,44000,76392,594006,-85208,-860394
10,2160,129600,32000,161600,1616000,3240,5399,32397,5500,44000,76397,670403,-85203,-945597
11,2160,129600,32000,161600,1777600,3240,5400,32399,5500,44000,76399,746802,-85201,-1030798
12,2160,129600,32000,161600,1939200,3240,5400,32399,5500,44000,76399,823201,-85201,-1115999
13,2160,129600,32000,161600,2100800,3240,5400,32400,5500,44000,76400,899601,-85200,-1201199
14,2160,129600,32000,161600,2262400,3240,5400,32400,5500,44000,76400,976001,-85200,-1286399
15,2160,129600,32000,161600,2424000,3240,5400,32400,5500,44000,76400,1052401,-85200,-1371599
16,2160,129600,32000,161600,2585600,3240,5400,32400,5500,44000,76400,1128801,-85200,-1456799
17,2160,129600,32000,161600,2747200,3240,5400,32400,5500,44000,76400,1205201,-85200,-1541999
18,2160,129600,32000,161600,2908800,3240,5400,32400,5500,44000,76400,1281601,-85200,-1627199
19,2160,129600,32000,161600,3070400,3240,5400,32400,5500,44000,76400,1358001,-85200,-1712399
20,2160,129600,32000,161600,3232000,3240,5400,32400,5500,44000,76400,1434401,-85200,-1797599
21,2160,129600,32000,161600,3393600,3240,5400,32400,5500,44000,76400,1510801,-85200,-1882799
22,2160,129600,32000,161600,3555200,3240,5400,32400,5500,44000,76400,1587201,-85200,-1967999
23,2160,129600,32000,161600,3716800,3240,5400,32400,5500,44000,76400,1663601,-85200,-2053199
24,2160,129600,32000,161600,3878400,3240,5400,32400,5500,44000,76400,1740001,-85200,-2138399
25,2160,129600,32000,161600,4040000,3240,5400,32400,5500,44000,76400,1816401,-85200,-2223599
26,2160,129600,32000,161600,4201600,3240,5400,32400,5500,44000,76400,1892801,-85200,-2308799
27,2160,129600,32000,161600,4363200,3240,5400,32400,5500,44000,76400,1969201,-85200,-2393999
28,2160,129600,32000,161600,4524800,3240,5400,32400,5500,44000,76400,2045601,-85200,-2479199
29,2160,129600,32000,161600,4686400,3240,5400,32400,5500,44000,76400,2122001,-85200,-2564399
30,2160,129600,32000,161600,4848000,3240,5400,32400,5500,44000,76400,2198401,-85200,-2649599
31,2160,129600,32000,161600,5009600,3240,5400,32400,5500,44000,76400,2274801,-85200,-2734799
32,2160,129600,32000,161600,5171200,3240,5400,32400,5500,44000,76400,2351201,-85200,-2819999
33,2160,129600,32000,161600,5332800,3240,5400,32400,5500,44000,76400,2427601,-85200,-2905199
34,2160,129600,32000,161600,5494400,3240,5400,32400,5500,44000,76400,2504001,-85200,-2990399
35,2160,129600,32000,161600,5656000,3240,5400,32400,5500,44000,76400,2580401,-85200,-3075599
36,2160,129600,32000,161600,5817600,3240,5400,32400,5500,44000,76400,2656801,-85200,-3160799
