Month,EK_Monthly,EK_Cumulative,ScA_Monthly,ScA_Cumulative,ScA_CAC,ScB_Monthly,ScB_Cumulative,ScB_CAC,ScC_Monthly,ScC_Cumulative,ScC_CAC,ScD_Monthly,ScD_Cumulative,ScD_CAC,ScE_Monthly,ScE_Cumulative,ScE_CAC
1,161600,161600,51440,51440,10,80600,80600,19,109760,109760,28,138920,138920,37,168080,168080,46
2,161600,323200,59216,110656,10,100040,180640,22,140864,250624,35,181688,320608,48,222512,390592,60
3,161600,484800,62326,172982,10,107816,288456,24,153306,403930,38,198795,519403,52,244285,634877,66
4,161600,646400,63571,236553,10,110926,399382,24,158282,562212,39,205638,725041,54,252994,887871,68
5,161600,808000,64068,300621,10,112171,511553,25,160273,722485,40,208375,933417,54,256478,1144348,69
6,161600,969600,64267,364888,10,112668,624221,25,161069,883554,40,209470,1142887,55,257871,1402219,70
7,161600,1131200,76347,441235,14,124867,749088,29,173388,1056942,44,221908,1364795,59,270428,1672648,73
8,161600,1292800,76379,517614,14,124947,874035,29,173515,1230457,44,222083,1586878,59,270651,1943299,74
9,161600,1454400,76392,594006,14,124979,999014,29,173566,1404023,44,222153,1809031,59,270741,2214040,74
10,161600,1616000,76397,670402,14,124992,1124006,29,173586,1577609,44,222181,2031212,59,270776,2484816,74
11,161600,1777600,76399,746801,14,124997,1249002,29,173595,1751204,44,222193,2253405,59,270790,2755606,74
12,161600,1939200,76399,823200,14,124999,1374001,29,173598,1924801,44,222197,2475602,59,270796,3026403,74
13,161600,2100800,76400,899600,14,124999,1499000,29,173599,2098401,44,222199,2697801,59,270798,3297201,74
14,161600,2262400,76400,976000,14,125000,1624000,29,173600,2272000,44,222200,2920000,59,270799,3568000,74
15,161600,2424000,76400,1052400,14,125000,1749000,29,173600,2445600,44,222200,3142200,59,270800,3838800,74
16,161600,2585600,76400,1128800,14,125000,1874000,29,173600,2619200,44,222200,3364400,59,270800,4109600,74
17,161600,2747200,76400,1205200,14,125000,1999000,29,173600,2792800,44,222200,3586600,59,270800,4380400,74
18,161600,2908800,76400,1281600,14,125000,2124000,29,173600,2966400,44,222200,3808800,59,270800,4651200,74
19,161600,3070400,76400,1358000,14,125000,2249000,29,173600,3140000,44,222200,4031000,59,270800,4922000,74
20,161600,3232000,76400,1434400,14,125000,2374000,29,173600,3313600,44,222200,4253200,59,270800,5192800,74
21,161600,3393600,76400,1510800,14,125000,2499000,29,173600,3487200,44,222200,4475400,59,270800,5463600,74
22,161600,3555200,76400,1587200,14,125000,2624000,29,173600,3660800,44,222200,4697600,59,270800,5734400,74
23,161600,3716800,76400,1663600,14,125000,2749000,29,173600,3834400,44,222200,4919800,59,270800,6005200,74
24,161600,3878400,76400,1740000,14,125000,2874000,29,173600,4008000,44,222200,5142000,59,270800,6276000,74
25,161600,4040000,76400,1816400,14,125000,2999000,29,173600,4181600,44,222200,5364200,59,270800,6546800,74
26,161600,4201600,76400,1892800,14,125000,3124000,29,173600,4355200,44,222200,5586400,59,270800,6817600,74
27,161600,4363200,76400,1969200,14,125000,3249000,29,173600,4528800,44,222200,5808600,59,270800,7088400,74
28,161600,4524800,76400,2045600,14,125000,3374000,29,173600,4702400,44,222200,6030800,59,270800,7359200,74
29,161600,4686400,76400,2122000,14,125000,3499000,29,173600,4876000,44,222200,6253000,59,270800,7630000,74
30,161600,4848000,76400,2198400,14,125000,3624000,29,173600,5049600,44,222200,6475200,59,270800,7900800,74
31,161600,5009600,76400,2274800,14,125000,3749000,29,173600,5223200,44,222200,6697400,59,270800,8171600,74
32,161600,5171200,76400,2351200,14,125000,3874000,29,173600,5396800,44,222200,6919600,59,270800,8442400,74
33,161600,5332800,76400,2427600,14,125000,3999000,29,173600,5570400,44,222200,7141800,59,270800,8713200,74
34,161600,5494400,76400,2504000,14,125000,4124000,29,173600,5744000,44,222200,7364000,59,270800,8984000,74
35,161600,5656000,76400,2580400,14,125000,4249000,29,173600,5917600,44,222200,7586200,59,270800,9254800,74
36,161600,5817600,76400,2656800,14,125000,4374000,29,173600,6091200,44,222200,7808400,59,270800,9525600,74
